Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Teisės d-to Civilinės metrikacijos skyrius,16 paslaugų kategorija BVPŽ kodas 905131007,1,"2011-02-17 sutartis Nr. A64-3(3.10.22-FN4) UAB ""Ecoservice""",4065.6,Buitinių atliekų išvežimo paslaugos,"UAB ""Švarus miestas', UAB ""VSA Vilnius"", UAB ""Ecoservice"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,2,2011-01-17 PVM sąskaita faktūra Nr. 012925 VšĮ Respublikinis energetikų mokymo centras,819.00,"Seminaras ""Ypatingo statinio specialiųjų statybos darbų techninė priežiūra""",VšĮ Respublikinis energetikų mokymo centras
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,3,2011-01-14 PVM sąskaita faktūra MKC-000800 VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras,478,Seminaras -susitikimas savivaldybių finansų ir biudžeto padalinių vadovams,VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,4,"2011-01-21 PVM sąskaita faktūra UAB ""Mokesčių srautas""",1161.60,"Seminaras ""Teisių gynimo mechanizmai viešuose pirkimuose""","UAB ""Mokesčių srautas"""
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,5,"2011-01-28 PVM sąskaita faktūra Nr. EKS 2011020 UAB ""Ekspobalta""",8904.00,Vilniaus miesto reklama  tarptautinėse turizmo parodose Lillestrome Ir Madride,"UAB ""Ekspobalta"""
Verkių seniūnija,BVPŽ kodas 45420000-7,6,"2011-02-07 sutartis Nr. A62-5(3.10.21-FN4) UAB ""Alvora""",3642.10,Verkių seniūnijos rinkimų apylinkių inventoriaus montavimo ir remonto darbai,"UAB ""Alvora"", UAB ""Stebulė"", UAB ""Agranga"""
Turto valdymo ir verslo paslaugų d-to Turto valdymo ir privatizavimo skyrius,12 paslaugų kategorija BVPŽ kodas 71410000-5,7,2011-02-11 sutartis Nr. A64-5(3.10.22-TR) VĮ Valstybės žemės fondas,9982.5,Miestų planavimo paslaugos,VĮ Valstybės žemės fondas
Informacinių technologijų skyrius,1 paslaugų kategorija BVPŽ kodas 50334140-8,8,,,Telefono remontas,
Naujosios Vilnios seniūnija,BVPŽ kodas 45420000-7,9,"2011-02-22 sutartis Nr. A62-21(3.10.21-FN4) UAB ""Priemiestis""",4583.48,Rinkimų apylinkių paruošimo darbai,"UAB ""Tavastis"", UAB ""Šarvas"", UAB ""Priemiestis"""
Vilkpėdės seniūnija,BVPŽ kodas 45420000-7,10,"2011-02-15 sutartis Nr. A62-11(3.10.21-FN4) UAB ""Avarija""",2798.33,Rinkimų apylinkių paruošimas,"UAB ""Avarija"", Valstybės  įmonė prie Pravieniškių 1-ųjų pataisos namų Vilniaus filialas, UAB 'Naujamiesčio būstas"""
Komunalinio ūkio d-to Energetikos ir statinių skyrius,1 paslaugų kategorija BVPŽ kodas 50750000-7,11,"2011-04-11 sutartis Nr. A64-28(3.10.22-UK) UAB ""Kone""",16988.4,Keltuvų neįgaliems techninė priežiūra,"UAB ""KONE, UAB ""Kauno liftai"", AB ""PUNTUKAS"", UAB ""Schindler-Liftas"""
Žirmūnų seniūnija,BVPŽ kodas 45420000-7,12,"2011-02-09 sutartis Nr. A62-7(3.10.21-FN4) UAB ""Greivis""",7390,Rinkimų apylinkių įrengimas,"UAB ""StatVilsta"", UAB ""Graivis"", UAB ""Metras"""
Grigiškių seniūnija,BVPŽ kodas 45420000-7,13,"2011-02-21 sutartis Nr. A62-18(3.10.21-FN4) UAB ""Grigiškių komunalinis ūkis""",1399.25,Rinkimų apylinkių įrengimas,"UAB ""Grigiškių komunalinis ūkis"", UAB ""Gedulis"", UAB 'Lentvario komunalinis ūkis"""
"Kultūros, sporto ir turizmo d-tas",BVPŽ kodas 03121210-0,14,"2011-03-01 PVM sąsk. faktūra Nr. 00004570 UAB ""Shishi"", 2011-03-30 PVM sąsk. faktūra Nr. 00004690 UAB ""Shishi"",  2011-05-05 PVM sąsk. faktūra Nr. 00004812 UAB ""Shishi"", 2011-08-04 PVM sąsk. faktūra Nr. 00005059 UAB ""Shishi"", 2011-09-05 PVM sąsk. faktūra Nr. 00005126 UAB ""Shishi"",  2011-10-03 PVM sąsk. faktūra Nr. 00005189 UAB ""Shishi"", 2011-11-02 PVM sąsk. faktūra Nr. 00005265 UAB ""Shishi"" ",8450.7,Gėlės,"UAB ""Shishi"", UAB ""Ogmėja"", UAB ""Florisima"""
"Kultūros, sporto ir turizmo d-tas",17 paslaugų kategorija BVPŽ kodas 55300000-3,15,"2011-01-31 PVM sąsk. faktūra Nr. 00573 UAB PATYS, 2011-02-03 PVM sąsk. faktūra Nr. 00575 UAB PATYS, 2011-02-28 PVM sąsk. faktūra Nr. 00583 UAB PATYS, 2011-02-28 PVM sąsk. faktūra Nr. 00584 UAB PATYS, 2011-03-01 PVM sąsk. faktūra Nr. 00585 UAB PATYS, 2011-03-31 PVM sąsk. faktūra Nr. 00592 UAB PATYS, 2011-03-31 PVM sąsk. faktūra Nr. 00593 UAB PATYS,  2011-04-29 PVM sąsk. faktūra Nr. 00602 UAB PATYS,  2011-04-29 PVM sąsk. faktūra Nr. 00604 UAB PATYS,  2011-05-23 PVM sąsk. faktūra Nr. 00610 UAB PATYS,  2011-05-23 PVM sąsk. faktūra Nr. 00611 UAB PATYS,  2011-05-31 PVM sąsk. faktūra Nr. 00616 UAB PATYS,  2011-05-31 PVM sąsk. faktūra Nr. 00615 UAB PATYS, 2011-06-02 PVM sąsk. faktūra Nr. 00622 UAB PATYS, 2011-06-30 PVM sąsk. faktūra Nr. 00625 UAB PATYS, 2011-07-29 PVM sąsk. faktūra Nr. 00631 UAB PATYS, 2011-08-31 PVM sąsk. faktūra Nr. 00632 UAB PATYS, 2011-09-13 PVM sąsk. faktūra Nr. 00637 UAB PATYS, 2011-09-30 PVM sąsk. faktūra Nr. 00641 UAB PATYS, 2011-11-30 PVM sąsk. faktūra Nr. 00656 UAB PATYS, 2011-12-01 PVM sąsk. faktūra Nr. 00658 UAB PATYS, 2011-12-05 PVM sąsk. faktūra Nr. 00659 UAB PATYS, 2011-12-30 PVM sąsk. faktūra Nr. 00666 UAB PATYS, 2011-08-31 PVM sąsk. faktūra Nr. 00633 UAB PATYS",3783.69,Svečių aptarnavimo paslaugos Savivaldybės administracinaime pastate,UAB PATYS
Pašilaičių seniūnija,BVPŽ kodas 45420000-7,16,"2011-02-17 sutartis Nr. A62-17(3.10.21-FN4) UAB ""PRO Racotech""",2122.86,6 rinkimų apylinkių Pašilaičių seniūnijos teritorijoje įrengimas 2011 m. Savivaldybių rinkimams,"UAB ""Pašilaita"", UAB ""Karoliniškių būstas"", UAB PRO RACOTECH"
Lazdynų seniūnija,BVPŽ kodas 45420000-7,17,"2011-02-15 sutartis Nr. A62-13(3.10.21-FN4) UAB ""Statvista""",3679.61,Rinkimų apylinkių parengimas savivaldybių tarybų rinkimams,"UAB ""Orgtechnika"", UAB ""City Cervice"", UAB ""Statvilsta"""
Šnipiškių seniūnija,BVPŽ kodas 45420000-7,18,"2011-02-22 sutartis Nr. A62-19(3.10.21-FN4) UAB ""Sportas ir mada""",1882.36,Rinkimų apylinkių paruošimas,"UAB ""Sportas ir mada"", UAB ""Baseta', UAB ""Dizaino centras"", UAB ""Agranga"""
Naujamiesčio seniūnija,BVPŽ kodas 45420000-7,19,"2011-02-25 sutartis nr. A62-26(3.10.21_FN4) UAB ""Eurorenovacijos""",3694.21,"2011 m. savivaldybių rinkimmams pasirengti apylinkėms inventoriaus remonto, atvežimo, sumontavimo, demontavimo paslaugos","UAB ""Avarija"", UAB ""Stebulė"", UAB ""Eurorenovacijos"""
Naujininkų seniūnija,BVPŽ kodas 45420000-7,20,"2011-02-17 sutartis Nr.A62-15(3.10.21-FN4) UAB ""Naujininkų ūkis""",5585,Rinkimų apylinkių įrengimas,"UAB ""Naujininkų ūkis"", UAB ""Micaras"", UAB ""Senovė"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,21,"2011-01-27 PVM sąskaita faktūra Nr. 1472 UAB ""Espertų mugė""",1016.4,"Seminaras ""Viešieji pirkimai - pakeitimai, klaidos, sutartys""","UAB ""Espertų mugė"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,22,"2011-02-03 PVM sąskaita faktūra Nr. 1495 UAB ""Ekspertų mugė""",677.6,"Seminaras ""Viešųjų pirkimų teisinio reglamentavimo pokyčiai""","UAB ""Ekspertų mugė"""
Karoliniškių seniūnija,BVPŽ kodas 45420000-7,23,"2011-02-14 sutartis Nr. A62-9(3.10.21-FN4) UAB ""Stebulė""",4100.00,Rinkimų apylinkių įrengimo darbai,"UAB ""Lentvario komunalinis ūkis"", UAB ""Vilniaus Zunda', UAB ""Stebulė"""
Žvėryno seniūnija,BVPŽ kodas 45420000-7,24,"2011-02-14 sutartis A62-10(3.10.21-FN4) UAB ""Avarija""",2297.87,5 rinkiminių apylinkių įrengimo darbai,"UAB ""Jurita"", UAB ""Avarija', UAB ""Naujamiesčio būstas"""
Socialinių reikalų ir sveikatos d-tas ,15 paslaugų kategorija BVPŽ kodas 78000000-7,25,"2011-09-05 PVM sąskaita faktūra Nr. 0044437 UAB ""Lietuvos žinios"", 2011-08-25 PVM sąskaita faktūra Nr. 0044145 UAB ""Lietuvos žinios"", 2011-08-12 PVM sąskaita faktūra Nr. 00439065 UAB ""Lietuvos žinios"", 2011-07-28 PVM sąskaita faktūra Nr. 0043638 UAB ""Lietuvos žinios"", 2011-07-08 PVM sąskaita faktūra Nr. 0043248 UAB ""Lietuvos žinios"", 2011-08-05 PVM sąskaita faktūra Nr. 0043806 UAB ""Lietuvos žinios"", 2011-06-22 PVM sąskaita faktūra Nr. 0042844 UAB ""Lietuvos žinios"", 2011-06-13 PVM sąskaita faktūra Nr. 0042549 UAB ""Lietuvos žinios"", 2011-06-13 PVM sąskaita faktūra Nr. 0042549 UAB ""Lietuvos žinios"", 2011-06-08 PVM sąskaita faktūra Nr. 0042431 UAB ""Lietuvos žinios"", 2011-06-01 PVM sąskaita faktūra Nr. 0042254 UAB ""Lietuvos žinios"", 2011-05-16 PVM sąskaita faktūra Nr. 0041703 UAB ""Lietuvos žinios"", 2011-05-05 PVM sąskaita faktūra Nr. 0041397 UAB ""Lietuvos žinios"", 2011-05-06 PVM sąskaita faktūra Nr. 0041443 UAB ""Lietuvos žinios"", 2011-04-21 PVM sąskaita faktūra Nr. 0040918 UAB ""Lietuvos žinios"", 2011-04-18 PVM sąskaita faktūra Nr. 0040774 UAB ""Lietuvos žinios"", 2011-04-01 PVM sąskaita faktūra Nr. 0040238 UAB ""Lietuvos žinios"", 2011-04-01 PVM sąskaita faktūra Nr. 0040239 UAB ""Lietuvos žinios"", 2011-03-21 PVM sąskaita faktūra Nr. 0039845 UAB ""Lietuvos žinios"", 2011-03-09 PVM sąskaita faktūra Nr. 0039554 UAB ""Lietuvos žinios"", 2011-03-07 PVM sąskaita faktūra Nr. 0039458 UAB ""Lietuvos žinios"", 2011-03-04 PVM sąskaita faktūra Nr. 0039407 UAB ""Lietuvos žinios"", 2011-02-24 PVM sąskaita faktūra Nr. 0039084 UAB ""Lietuvos žinios"", 2011-02-28 PVM sąskaita faktūra Nr. 0039212 UAB ""Lietuvos žinios"", 2011-02-25 PVM sąskaita faktūra Nr. 0039110 UAB ""Lietuvos žinios"", 2011-02-03 PVM sąskaita faktūra Nr. 0038509 UAB ""Lietuvos žinios"", ",2230.46,"Spausdinimo, leidybos paslaugos","UAB ""Lietuvos rytas"", UAB 'Lietuvos žinios"", UAB ""Vakaro žinios"""
Justiniškių seniūnija,BVPŽ kodas 45420000-7,26,"2011-02-17 sutartis Nr.A62-16(3.10.21-FN4) UAB ""Pašilaita""",2776.85,6 rinkimų apylinkių atnaujinimo ir įrengimo darbai,"UAB ""Pašilaita"", UAB ""Graivis"", UAB ""Litmilma"""
Senamiesčio seniūnija,BVPŽ kodas 45420000-7,27,"2011-02-15 sutartis Nr. A62-12(3.10.21-FN4) UAB ""Senamiesčio ūkis""",3033.87,7 rinkimų apylinkių įrengimo darbai ,"UAB 'Naujininkų ūkis"""
Pilaitės seniūnija,BVPŽ kodas 45420000-7,28,"2011-02-22 sutartis Nr. A62-20(3.10.21-FN4) UAB ""LS ir co statyba""",2175,Savivaldybių rinkimų apylinkių įrengimo darvbai,"UAB ""Naujoji Pilaitė', UAB ""Medlain"", UAB ""LS ir Co statyba'"
Panerių seniūnija,BVPŽ kodas 45420000-7,29,"2011-02-23 sutartis Nr. A62-23(3.10.21-FN4) UAB ""Stebulė""",1370,Rinkimų apylinkių įrengimas,"UAB ""Grigiškių komunalinis ūkis"", UAB ""Stebulė"""
Šeškinės seniūnija,BVPŽ kodas 45421000-4,30,"2011-02-23 sutartis Nr. A62-24(3.10.21-FN4) UAB ""Stebulė""",3695,"Rinkimų apylinkių įrangos montavimas, remontas, išmontavimas","UAB ""Vilniaus zunda"", UAB ""Stebulė"""
Fabijoniškių seniūnija,BVPŽ kodas 45421000-4,31,"2011-02-15 sutartis Nr. A62-14(3.10.21-FN4) UAB ""Srėdė""",4192.65,Rinkimų apylinkių įrengimas,"UAB ""Stebulė"", UAB ""Fabeta"", UAB ""Srėdė"" ir Ko"
Rinkodaros ir viešųjų ryšių skyrius,13 paslaugų kategorija BVPŽ kodas 7934100076,32,"2011-03-30 PVM sąskaita faktūra Nr. 0070 UAB ""Magu""",8470,Konsultavimo paslaugos miesto įvaizdžio kūrimo klausimais,"UAB ""Magu"", UAB ""Business development"", UAB ""Prime partner"""
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,33,"2011.02.21 PVM sąsklaita faktūra Nr. EKS 2011034 UAB ""Ekspobalta""",9025,Vilniaus miesto reklama  tarptautinėse turizmo parodose Tel Avive ir Milane,"UAB ""Ekspobalta"""
Žvėryno seniūnija,BVPŽ kodas 09123000-7,34,"2011-03-23 sutartis Nr. A68-4(3.10.23-FN4) AB ""Lietuvos dujos""",9990,Gamtinių dujų tiekimas,"UAB ""Dujotekana"", AB ""Lietuvos dujos"""
Antakalnio seniūnija,BVPŽ kodas 45420000-7,35,"2011-02-25 sutartis Nr. A62-25(3.10.21-FN4) UAB ""Bobkatas""",4546.24,Rinkimų apylinkių įrengimas,"UAB 'Bobkatas"", UAB ""Antakalnio ūkis"", UAB ""Stebulė"""
Viršuliškių seniūnija,BVPŽ kodas 45420000-7,36,"2011-02-24 sutartis Nr. A64-15 (3.10.21-FN4) UAB ""Nekilnojamojo turto plėtros grupė""",2151.63,Rinkimų apylinkių įrengimas,"UAB ""Viršuliškių būstas"", UAB ""Nekilnojamojo turto plėtros grupė"", UAB ""Stebulė"""
Rasų seniūnija,BVPŽ kodas 45420000-7,37,"2011-02-22 sutartis Nr. A62-22(3.10.21-FN4) UAB ""Statvilsta""",1377.57,Rinkimų apylinkių įrengimas,"UAB ""Statvilsta"", UAB ""Orgtechnika"", G.Liugos IĮ"
Verkių seniūnija,BVPŽ kodas 1580000-6,38,2011-03-01 PVM sąskaita faktūra Nr. 0030 G. Zinkevičienės PĮ,3984.53,Įvairūs maisto produktai Verkių seniūnijos renginiams organizuoti,"R. Saulienės PĮ, UAB ""Lukre"", G. Zinkevičienės PĮ"
Informacinių technologijų skyrius,BVPŽ kodas 30200000-1,39,"2011-02-28 sutartis Nr.A68-3(3.10.23-FN4) UAB ""ATEA""",6376.7,Nešiojamo kompiuterio pirkimas,"UAB ""Atea"", UAB ""Novocore"""
Verkių seniūnija,BVPŽ kodas 22325000-1,40,"2011-07-07 PVM sąskaita faktūra Nr.A55-5445, 2011-12-14 PVM sąskaita faktūra Nr.A55-10713",400.1,Verkių seniūnijos renginių nuotraukų pirkimas,"UAB ""Spiktra"", UAB ""Fotofabrikas"", UAB ""Fotoprizmė"""
Verkių seniūnija,BVPŽ kodas 03121200-7,41,"2011-03-07 PVM sąskaita faktūra Nr. A55-1899 UAB ""A-Flora""",266.20,Skintos gėlės Verkių seniūnijos renginiams,"UAB ""Žiežmarių gėlės"", UAB ""Nustebink"", UAB ""Floriada"", UAB ""A-Flora'"
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,42,"2011-02-23 sutartis Nr. A64-13(3.10.22-FN4) VĮ ""Tvarios raidos inovacijų pilietinis forumas""",800,Verkių seniūnijos Užgavėnių šventės organizavimo paslaugos,"Baltupių savivaldos centras ""Cederonas"", VĮ ""Tvarios raidos inovacijų pilietinis forumas"", Labdaros ir paramos fondas "" AMUS"""
Lazdynų seniūnija,16 paslaugų kategorija BVPŽ kodas 90121200-3,43,Nutrauktas pirkimas,,Komunalinių atliekų vežimas iš Lazdynų turgavietės ,"UAB ""Atliekų tvarkymo tarnyba"", UAB ""Ecoservice"", UAB ""Veolia Environmental Services Lietuva"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,44,2011-02-21 PVM sąskaita faktūra Nr. 0110414,320,"Seminaras ""Administracinių teisės pažeidimų kodekso pakeitimai 2011-01-01""",Finansų ministerijos mokymų centras
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,45,2011-03-21 PVM sąskaita faktūra Nr. EKS 2011070,6000,Vilniaus miesto reklama tarptautinėje turizmo parodoje Berlyne,"UAB ""Ekspobalta"""
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,46,2011-03-21 PVM sąskaita faktūra Nr. EKS 2011071,9041,Vilniaus miesto reklama tarptautinėse turizmo parodose Paryžiuje ir Maskvoje,"UAB ""Ekspobalta"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,47,2011-03-03 PVM sąskaita faktūra Nr. 006113,"2,425.00","Seminaras ""Seniūnijos veiklos programa: rengimas, vykdymas, kontrolė""","Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Komunalinio ūkio d-to Miesto tvarkymo skyrius,BVPŽ kodas 45262640-9,48,"2011-05-18 sutartis Nr. A62-32(3.10.21-UK0 UAB ""Stebulė""",300000,Vilniaus miesto teritorijų aplinkos gerinimo darbai (savavališkų sąvartynų sutvarkymas),"UAB ""Gamtovaizdis"", UAB ""Stebulė"", UAB ""VSA Vilnius"""
Šnipiškių seniūnija,26 pslaugų kategorija BVPŽ kodas 92000000-1,49,"2011-03-07 sutartis Nr. A64-18(3.10.22-FN4) VšĮ ""Raitija""",2952.1,Bendruomenės veikla (Užgavėnių šventė),"VšĮ ""Raitija"", Gervėčių klubas, Lietuvos skautų sąjunga"
Naujosios Vilnios seniūnija,BVPŽ kodas 4526290-9,50,"2011-08-08 sutartis Nr. A62-79(3.10.21-FN4) UAB ""Gedulis""",19905.71,Vaikų žaidimo aikštelių ir sporto aikštelių įrengimo ir remonto darbai,"UAB ""Menhiras"", UAB ""Gedulis"", UAB ""Languvita"""
Naujosios Vilnios seniūnija,BVPŽ kodas 15800000-6,51,"2011-06-24 PVM sąskaita faktūra Nr. 00146, 2011-09-10 PVM sąskaita fatūra Nr. 00150",990,"Vaišės renginio svečiams (Paparčio žiedas, Europos gatvės mugė)","A. Rusakevičienės I Į, Danutės Nekraševič I Į, l. Žukovskajos I Į"
Naujosios Vilnios seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,52,"2011-04-13 sutartis Nr. A64-29(3.10.22-FN4) BĮ ""Naujosios Vilnios kultūros centras"" ",7489,"Kalėdų, Joninių, Europos gatvės mugės švenčių organizavimo paslaugos","Kirtimų kultūros centras, Grigiškių kultūros centras, Naujosios Vilnios kultūros centras"
Informacinių technologijų skyrius,BVPŽ kodas 32252000-4,53,"2011-06-02 A68-10(3.10.23-FN4) UAB ""Omnitel""",100000,Mobiliųjų telefonų aparatų pirkimias,"UAB ""Omnitel"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,54,2011-03-15 sąskaita faktūra Nr.006270,500,"Seminaras ""Savivaldos rinkimų rezultatų aptarimas""","Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Užsienio ryšių skyrius,BVPŽ kodas 22110000-4,55,"2011-03-22 sąskaita faktūra Nr.03/22/1 V.O. ""Mūsų dialogas"", 2011-04-21 PVM sąskaita faktūra Nr. 0006888 R. Paknio leidykla, 2011-04-21 PVM sąskaita faktūra Nr. 0250 PĮ ""Infonila""",8859.41,Knygos,"V.O. ""Mūsų dialogas"",  PĮ ""Infonila"", R. Paknio leidykla"
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,56,2011-04-18 PVM sąskaita faktūra Nr. 12397,726,"Seminaras ""Ypatingo statinio bendrosios statiniostatybos techninės priežiūros vadovo (statinių grupės: susisiekimo komunikacijos; keliai, keliai (gatvės) atestato pratęsimas)""","Asociacija ""Lietuvos keliai"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,57,2011-03-18 PVM sąskaita faktūra Nr. 0000758,180,"Seminaras ""Želdynų krimo patirtis ir tendencijos; pasaulinė ir kaimyninių šalių praktika""",Kauno miškų ir aplinkos inžinerijos kolegija
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,58,2011-03-24 sąskaita faktūra Nr. 0006058,700,Ypatingo statinio projekto vadovo atestato pratęsimas (parengimo atestacijai kursai),VGTU Kokybės vadybos centras
